Company,Domain,Description,Preferred Stage,Preferred Sector
Carmo Companies,carmocapital.com,"Carmo Companies specializes in organizing high-quality institutional investor meetings focused on the Private Markets, while also providing finance recruitment services for top firms in Venture Capital, Private Equity, Hedge Funds, Real Estate, Family ...",,
HC9 Ventures,hc9.vc,"HC9 Ventures is a venture capital and private equity firm that collaborates with Limited Partners and industry experts to support and develop healthcare companies. Specializing in Seed and Series A investments, HC9 leverages its collective experience t...","Seed, Series A",Healthcare
Charge Ventures,charge.vc,"Charge Ventures is a NYC-based VC firm that invests in early stage tech ventures, partnering with exceptional founders at the very beginning of their entrepreneurial journey.","Angel, Seed, Early Stage",
Boost VC,boost.vc,"Boost VC is a pre-seed investment fund that focuses on transforming science fiction concepts into reality by investing in early-stage startups across various innovative sectors, including cryptocurrency, virtual and augmented reality, artificial intell...","Pre-Seed, Seed, Early Stage","Crypto, AI, Blockchain, Metaverse"
Colchuck,colchuck.com,"Colchuck is a family-owned media company offering photography, videography, and social media services. They also serve as a purposeful private investment firm, focusing on community-driven capital deployment.",,
Remagine Ventures,remagineventures.com,"Remagine Ventures is a pre-seed and seed investment fund that focuses on supporting founders in the gaming, Metaverse, web3, and consumer technology sectors, particularly in Israel, by connecting startups with corporate investors and fostering early-st...","Pre-Seed, Seed","Web3, Consumer, Metaverse"
ADVAN Capital,advancapital.com,"ADVAN Capital is a premier private market investment partner that focuses on investing in exceptional businesses in late-stage venture capital, growth equity, and private equity. They specialize in technology, consumer, supply chain, and manufacturing ...","Growth Stage, Late Stage","Consumer, Enterprise"
Ben Lakoff,benlakoff.com,"Ben Lakoff is an entrepreneur, investor, and mentor with a passion for learning and travel. Fluent in multiple languages, he offers expertise in business development, coaching, and advisory services to early-stage startups. Ben is dedicated to collabor...","Pre-Seed, Seed, Early Stage",
Distributed Ventures,distributedvc.com,"Distributed Ventures invests in innovative firms that are reshaping the landscape of risk management within the Insurtech, Fintech, and Health & Benefits sectors.","Seed, Series A, Early Stage, Growth Stage","FinTech, Healthcare, Insurtech"
PurposeBuilt Ventures,purposebuilt.vc,"Purpose Built is a venture studio that brings together pre-idea entrepreneurs, capital, coaching, and resources to turn the best ideas into great companies focused on fintech, upskilling, and the future of work. They partner with future founders, gener...","Angel, Pre-Seed, Early Stage",FinTech
Bain Capital Life Sciences,baincapital.com,"Bain Capital, LP is one of the world’s leading multi asset alternative investment firms. With offices on four continents, our global team aligns our interests with those of our investors and partners for lasting impact. Bain Capital is one of the world...",,"Healthcare, Biotech / Life Sciences"
Shine Capital,shine.vc,Shine Capital is a venture capital firm that supports early-stage entrepreneurs with funding and guidance to drive innovation and success.,"Angel, Pre-Seed, Seed, Early Stage",
The Helm,thehelm.co,The Helm is an early-stage venture firm and angel syndicate based in New York City that invests in transformative companies founded by women.,"Angel, Early Stage",Consumer
Hercules Ventures,hercules.ventures,"Hercules Ventures, also known as Hercules VC, is a Web3 Investment Firm that specializes in investing in attention and category building. With a focus on pioneering Web3 investment, the company is dedicated to crafting attention and cultivating categor...",,Web3
Silvermine Capital,silverminecapital.com,"Silvermine Capital Partners is a company dedicated to cultivating and accelerating disruptive growth stage companies and decentralized projects. They specialize in areas that traditional venture capital and private equity overlook, leveraging technolog...",Growth Stage,"AI, Blockchain, FinTech, Cybersecurity, Climate Tech"
Transform Capital,transform.capital,Transform Capital is a private alternative investment firm that funds people with ideas which challenge the status quo and improve the human condition.,,
Monitor Capital Investments,monitorci.com,"Monitor Capital offers exclusive global access to prestigious real estate projects, private equity deals, and venture capital funds.",,
AlphaDAO,alphadao.capital,"AlphaDao is an exclusive community that connects institutional founders, builders, and venture capitalists to invest in and support projects that are shaping the future of Web3 and the digital assets space.",,"Web3, Crypto, Blockchain"
DPI CAPITAL,dpicapital.io,Investing in Web3 projects in AI - Infra - Gaming - DePin - RWA - DeFi,,"Web3, AI, DeFi"
LaunchTN,launchtn.org,Launch Tennessee is a private-public partnership empowering Tennessee's entrepreneurial ecosystem through strategic partnerships and hosting the annual 36|86 Festival in Nashville.,,
L'ATTITUDE Ventures,lattitudeventures.com,L'ATTITUDE Ventures is an early stage institutional platform that invests in technology and technology-enabled businesses led and owned by US Latinos. They have exceeded their $100M fundraising target and invested in 27 companies within a year. With a ...,"Pre-Seed, Seed, Series A, Early Stage","FinTech, Healthcare, Consumer, E-Commerce / Marketplaces"
Randev Ventures,randevventures.com,"Randev Ventures is a closed network fund investing in early stage startups across India, SEA, and the USA, providing tech-first founders with capital and resources for growth.","Angel, Seed, Early Stage","FinTech, Consumer, E-Commerce / Marketplaces, Insurtech"
Australian Gulf Capital,ausgulf.com,"Australian Gulf Capital is a global investment management firm that specializes in alternative investments, offering innovative solutions designed to reduce risk and promote sustainable growth for a diverse range of investors, including corporations, f...",,
Impossible Finance,impossible.finance,"Impossible Finance simplifies participation in decentralized finance (DeFi) by conducting thorough due diligence on early-stage investments, enabling users to engage confidently and access better investment terms typically reserved for venture capitali...","Pre-Seed, Seed, Early Stage","DeFi, Blockchain, FinTech"
Jed Ng,angelschool.vc,"AngelSchool.vc is the ultimate accelerator for Angel Investors, offering Venture Programs and Exclusive Deal flow. They provide a Fellowship program to help emerging investors build, run, and scale their own Angel syndicates.",Angel,
ArcheMatrix Ventures,archematrix.com,"ArcheMatrix Ventures (ArcheMatrix Investment Group, LLC) is the subsidy of ZhongMei XingYuan (Beijing) Technology, Ltd. Our Primary focus is on investment in early-stage companies with high growth potential.","Angel, Seed, Early Stage",
TTV Capital,ttvcapital.com,TTV Capital is a fintech-focused venture capital and private equity firm with a seasoned team that helps businesses thrive through industry knowledge and relationships.,,FinTech
Bond,bondcap.com,"BOND is a global technology investment firm that supports visionary founders throughout their entire life cycle of innovation & growth. The company specializes in Venture Capital and Private Equity investments, providing strategic support to entreprene...","Series A, Series B, Series C+, Early Stage, Growth Stage",
Interlace Ventures,interlacevc.com,"Interlace Ventures is an early stage venture capital firm investing in founders reimagining commerce. They have a deep understanding of the commerce infrastructure landscape and support a community of entrepreneurs, brands, and retailers. The company i...","Angel, Seed, Series A, Early Stage","Consumer, E-Commerce / Marketplaces"
SKU'D Ventures,skudventures.com,"SKU'd Ventures is a pre-seed venture capital firm supporting consumer brand startups with a focus on innovation in health & wellness, sustainability, and targeted demographics.",Pre-Seed,"Healthcare, Consumer, Climate Tech"
houck's newsletter,houck.news,"Founding Journey provides a newsletter that offers tactical advice and insights to startup founders on building, growing, and raising capital, drawing from the experiences of successful entrepreneurs and industry experts.",,
Eberg Capital,ebergcapital.com,"Eberg Capital is an investment fund that supports innovative companies in the sports, gaming, arts, and web3 industries. With a hands-on approach, they nurture creators and fans to build authentic relationships and redefine the future of these dynamic ...","Angel, Seed, Series A, Early Stage",Web3
Entrée Capital,entreecap.com,"Entrée Capital specializes in providing multi-stage venture capital funding to innovative seed, early, and growth stage companies across various industries, including fintech, deep tech, AI, and blockchain, while also offering strategic market insights...","Seed, Early Stage, Growth Stage","AI, Blockchain, FinTech"
Acrew Capital,acrewcapital.com,Acrew Capital is a venture capital firm that is redefining the future of venture by challenging the traditional norms of the industry. They prioritize diversity of perspectives to make informed decisions and aim to disrupt the hierarchy and homogeneous...,,
CKB Eco Fund,ckbeco.fund,"CKB Eco Fund is dedicated to fostering innovations on CKB. We invest in startups that drive adoption, scalability, and accessibility of CKB.",,Blockchain
BoxGroup,boxgroup.com,"BoxGroup is an early stage technology investment fund based in NYC, managed by David Tisch, Adam Rothenberg, and Nimi Katragadda. They invest in dreams at the earliest stage with companies like Plaid, Airtable, Ro, Ramp, and many more. BoxGroup's goal ...","Angel, Seed, Early Stage","AI, FinTech, E-Commerce / Marketplaces"
Coppola Ventures,coppola.io,"Coppola Ventures (coppolaventures.com) is a company that specializes in owning, operating, and investing in great assets. They are known for their expertise in Venture Capital and Private Equity Principals.",,
Deep Ventures,deepventures.io,"Deep Ventures is an Angel Investment and research firm that invests in early stage deep tech startups. They provide support to deeply driven founders tackling technical problems in sectors like AI/ML, blockchain, medicine, health, education, agricultur...","Angel, Seed, Early Stage","AI, Blockchain, Healthcare, Machine Learning"
1kx,1kx.capital,"1kx is an early stage investment firm focused on ecosystem growth, helping founders bootstrap token networks.","Pre-Seed, Seed, Early Stage","Crypto, DeFi, Blockchain"
Kleiner Perkins,kleinerperkins.com,"Kleiner Perkins is a renowned venture capital firm in Silicon Valley, partnering with innovative founders in technology and life sciences to make history through bold investments.",,"AI, Biotech / Life Sciences"
TBV,tbv.xyz,"TBV provides comprehensive support for web3 projects, offering fundraising assistance, token launch guidance, and community-building events to foster collaboration and memorable experiences within the industry.","Angel, Pre-Seed, Seed, Early Stage",Web3
New Form Capital,newformcap.com,"New Form Capital is a venture capital and private equity firm that backs exceptional teams engineering the next generation of financial markets. They invest in projects at the intersection of blockchain technology, financial markets, and data, focusing...","Seed, Series A, Early Stage","Blockchain, FinTech"
Ga^3in Ventures,gain.ventures,"Ga^3in Ventures is a global active alumni angel investors group that combines the power of an MBA network with a startup community. They select promising startups with a positive impact on communities, help them gain traction in the U.S., syndicate inv...","Angel, Seed, Early Stage",
Caffeinated Capital,caffeinatedcapital.com,"Caffeinated Capital is an early stage venture capital firm based in San Francisco, California. They partner with unbreakable founders who are radically transforming the way the world works. The company accelerates exceptional individuals with transform...","Angel, Seed, Series A, Early Stage",
Brian Wong Growth Ventures,brianwong.co,"BW Growth Ventures is a venture capital firm founded by Brian Wong. The company focuses on investing in early-stage startups in the web2 and web venture capital space. They provide funding, mentorship, and strategic guidance to help startups grow and s...","Angel, Pre-Seed, Seed, Early Stage",
Everest Capital Group,evrst.io,"Everest Capital Group, headquartered in Washington, DC, provides corporate financial consulting, CFO advisory services, and investment analysis to private mid-size and venture-backed growth stage companies in the United States and abroad. Specializing ...",Growth Stage,
WAGMI Ventures,wagmiventures.io,"WAGMI Ventures: Global syndicate of 20,000+ web3 investors providing access to venture-backed startups for founders.","Seed, Series A, Series B, Early Stage, Growth Stage, Late Stage",Web3
Unpopular Ventures,unpopular.vc,"Unpopular Ventures is an innovative investment firm that backs early-stage tech startups on the road less traveled, aiming to identify tomorrow's category-defining companies.","Angel, Pre-Seed, Seed, Early Stage",
Recharge Capital,rechargecapital.com,"Recharge Capital is a thematic first private investment vehicle headquartered in New York and Singapore. With a focus on fintech, healthcare, and deep tech enablement, the company identifies and invests in high-potential companies to close value chains...",,"AI, FinTech, Healthcare"
Hustle Fund,hustlefund.vc,"Hustle Fund is a venture capital fund that invests in hustlers at the pre-seed and seed stages, providing fast funding decisions, mentorship, and a vast network for startup growth.","Pre-Seed, Seed",Consumer
konvoy,konvoy.vc,Konvoy is a thesis-driven venture capital firm that focuses on investing in innovative platforms and technologies at the forefront of the gaming industry.,"Seed, Series A, Early Stage",
Primal Capital,primalcapital.io,"Primal Capital is a global Web3 fund investing in culture-shifting ideas and innovations, with a diverse portfolio in web3 & blockchain applications for consumer and enterprise adoption.",,"Web3, Blockchain, Consumer, Enterprise"
VITAL VENTURES,vitalventures.co,"VITAL VENTURES is a consumer-focused investment and strategic advisory firm that collaborates with private equity firms, family offices, and entrepreneurs worldwide. They offer expertise in deal origination, diligence, partnerships, and growth strategi...",,Consumer
Punch Capital,punchcap.com,"Punch Capital is dedicated to identifying and supporting exceptional first and second-generation immigrant founders. Through weekly investment reviews, personalized feedback, and in-depth discussions, we aim to empower the top 1% of immigrant entrepren...","Angel, Pre-Seed, Seed, Series A, Early Stage",
Chingona Ventures,chingona.ventures,"Chingona Ventures is a venture capital and private equity firm that focuses on investing in the next generation of badass founders. They specialize in pre-seed companies in industries such as financial technology, female technology, food technology, he...",Pre-Seed,FinTech
Seed Round Capital,seedroundcapital.com,"Seed Round Capital is an early stage venture capital investment and advisory firm based in Houston, Texas. They specialize in investing in pre-seed and seed stage startups, providing mentoring, fundraising support, and expert guidance to help startups ...","Pre-Seed, Seed, Early Stage",E-Commerce / Marketplaces
Correlation Ventures,correlationvc.com,"Correlation Ventures leverages predictive analytics to facilitate co-investment decisions for founders and lead investors within a two-week timeframe, aiming to transform the venture capital industry and enable businesses to innovate and thrive.",,
EnigmaFund,enigma-fund.com,EnigmaFund is a Web3 Venture Capital fund and advisory practice supporting founders in building critical tools and experiences with a unique investment thesis.,,Web3
Stateless Ventures,stateless.vc,"Stateless Ventures is a full stack venture firm investing across all stages of the startup life cycle. Their primary focus is on the intersection of AI, crypto, and web3. With a family of funds including a liquid fund, venture fund, and opportunistic S...","Pre-Seed, Seed, Series A, Series B, Series C+, Early Stage, Growth Stage, Late Stage","Web3, Crypto, AI"
Amplify.LA,amplify.la,"Amplify.LA is a Venice-based venture capital firm that empowers tech entrepreneurs with seed funding, mentorship, and workspace to grow successful startups in Los Angeles.","Angel, Seed, Early Stage",
V3ntures,v3ntures.xyz,"V3ntures is a venture capital and private equity firm with a focus on the next billion users of web3 technology. They invest in ambitious founders who are building the necessary tools and infrastructure for mainstream adoption, fueling the growth of we...","Seed, Series A, Early Stage",Web3
Figment Capital,figmentcapital.io,"Figment Capital is a Web3 infrastructure fund that invests in high conviction, early-stage blockchain infrastructure projects. Supported by Figment Inc., a leading Web3 infrastructure provider, Figment Capital works closely with founders to empower nex...","Angel, Seed, Early Stage","Web3, Blockchain"
Counter Culture Ventures,counterculture.ventures,"Counter Culture Ventures (CCV) is a venture capital firm dedicated to expediting the success of unconventional visionaries and misunderstood ideas. With a focus on early-stage investments, CCV aims to dismantle the artifice in the venture capital ecosy...","Angel, Seed, Series A, Early Stage",
Gloucester Circus,gloucestercircus.com,Gloucester Circus is a very British Family Office operating in the UK and the US. They focus on investing in start-ups and SMEs with significant growth potential through industry-wide research and a proprietary due diligence process. The company is ind...,"Seed, Series A, Series B, Early Stage, Growth Stage","FinTech, E-Commerce / Marketplaces"
eHealth Ventures,ehealthventures.com,"eHealth Ventures is a unique, early stage digital health fund that optimizes venture building through strategic healthcare partnerships. Their professional team supports clinical integration, business validation, and commercial expansion for portfolio ...","Angel, Seed, Early Stage",Healthcare
37 Angels,37angels.com,37 Angels: A community of 100+ angel investors promoting diversity in angel investing through education and empathy.,"Angel, Seed, Early Stage",
LAUNCH,launch.co,"LAUNCH is an early stage investment firm and media company founded by Jason McCabe Calacanis. They support founders, inspire innovation, and provide various programs like the LAUNCH Festival, Hackathon, Accelerator, and Fund to help startups grow and s...","Angel, Seed, Early Stage",
Cooley,cooley.com,"Cooley provides legal services to entrepreneurs, investors, and established businesses, leveraging a team of 900 attorneys across multiple international offices to address complex legal challenges.",,
BITKRAFT,bitkraft.vc,"BITKRAFT Ventures is a global investment platform specializing in Synthetic Reality™, focusing on Seed, Series A, and Series B investments in gaming, Web3, and immersive technology. Founded by gamers for gamers, BITKRAFT empowers extraordinary founders...","Seed, Series A, Series B","Web3, Metaverse"
Saola Ventures,saola.ventures,Saola Ventures is a strategic investment firm backing founders in disruptive technology companies across various sectors.,,
Maveron,maveron.com,"Maveron is a consumer-only venture capital firm that invests in early-stage consumer companies, partnering with exceptional founders to build iconic brands.","Angel, Seed, Early Stage",Consumer
Black Jays,blackjays.vc,"Black Jays Investments is a boutique venture firm in NYC, backing innovative startups to reshape consumer experiences and disrupt industries through early investments and strategic support.","Angel, Seed, Early Stage",Consumer
Entrepreneur First,entrepreneurfirst.org.uk,"Entrepreneur First invests in top technical talent to build startups from scratch, connecting individuals with co-founders and investors to create world-changing companies valued at over $10 billion.","Pre-Seed, Seed, Early Stage","Consumer, E-Commerce / Marketplaces"
Max Ventures,maxventures.vc,"Max Ventures is an early-stage venture capital firm that specializes in leading and co-leading pre-seed and seed funding rounds, having made over 65 investments and co-founded multiple venture-backed companies since its inception.","Pre-Seed, Seed, Early Stage",
Interplay Ventures,interplay.vc,"Interplay is an ecosystem that accelerates humankind's potential by supporting entrepreneurs with capital, mentorship, and educational content.",,
Brinc,brinc.io,Brinc is a venture capital and accelerator firm empowering game changers to solve global challenges through IoT entrepreneurship.,,"Enterprise, E-Commerce / Marketplaces"
gener8tor,gener8tor.com,"gener8tor provides a comprehensive platform for the creative economy, facilitating connections among startup founders, artists, investors, and corporations through its accelerator programs, mentorship, and funding opportunities aimed at fostering high-...",,Creator Economy
GS Futures,gsfutures.vc,"GS Futures is an early stage venture fund under the GS Group, investing in Climate & Energy Transition Tech, Construction & Real Estate Tech, and Consumer Tech. As a corporate venture capital entity, GS Futures partners with teams for long-term success...","Angel, Seed, Early Stage","Consumer, Climate Tech"
Patron,patron.fund,"Patron is an early stage venture firm investing in the convergence of games and consumer startups, known as the Spectrum of Play. The team consists of experienced builders and founders dedicated to shaping the future of the industry, with key members h...","Angel, Seed, Early Stage",Consumer
triptyq.vc,triptyq.vc,"Triptyq Capital is a premier seed stage venture capital fund specializing in investing in cutting-edge technology companies that drive innovation in digital entertainment and interactive media. With a focus on the creator economy, metaverse, XR, and We...","Pre-Seed, Seed, Early Stage","Metaverse, Creator Economy"
KB Partners,kbpartners.com,"KB Partners is a Chicago-based venture capital firm established in 1996, specializing in early-stage technology companies at the intersection of sports and technology. With a passion for building great companies, KB Partners leverages its experience an...","Pre-Seed, Seed, Early Stage","Web3, AI, FinTech, Consumer, Cloud Computing, Mobility / Transportation"
L2 Iterative,l2iterative.com,"L2 Iterative Ventures supports modular, multi-chain blockchain projects and zero knowledge proof applications, leading the digital revolution with a focus on decentralized platforms.","Angel, Seed, Early Stage","Blockchain, FinTech"
Big Brain Holdings,bigbrain.holdings,"BigBrain Holdings is a crypto-exclusive venture fund specializing in early-stage investments in blockchain technology. As a thesis-driven firm, we support visionary founders shaping the future by investing in companies with disruptive potential in vari...","Pre-Seed, Seed, Early Stage","Crypto, Blockchain"
The Venture Collective,theventurecollective.com,"The Venture Collective (TVC) is a transformational, early stage venture business that is on a mission to bridge the funding gap for underrepresented founders. We are a support first, milestone-driven investor who contributes capital, time, and networks...","Pre-Seed, Seed, Early Stage",
Plug and Play Tech Center,pnptc.com,"Plug and Play Tech Center is the world's largest startup accelerator and VC, connecting entrepreneurs, corporations, and investors globally to drive open innovation and growth for startups.","Seed, Series A, Early Stage","Enterprise, E-Commerce / Marketplaces"
Humble Ventures,humble.vc,"humble ventures drives innovation through diversity, supporting diverse founders and organizations to create lasting impact.",,
mechanism capital,mechanism.capital,Venture capital and private equity firm investing in innovative companies.,,
P2v,p2v.ventures,,,
Hypersphere Ventures,hypersphere.ventures,"Hypersphere Ventures is a crypto native investment platform that partners with early-stage and public blockchain networks to target asymmetric opportunities in digital asset markets, aiming to generate superior returns for its investors through a multi...","Angel, Seed, Early Stage","Crypto, Blockchain"
Coinfund,coinfund.io,"CoinFund is a leading cryptoasset investment firm based in Brooklyn, NY. They strategically invest in blockchain technology, support projects, and assist entrepreneurs in the decentralized space.","Seed, Series A, Early Stage, Growth Stage","Crypto, Blockchain"
Alumni Ventures,av.vc,"Alumni Ventures is America's largest venture firm for individual investors, offering professional-grade venture capital portfolios since 2014. With a network of 10,000+ investors, we provide access to diversified venture portfolios in highly competitiv...",,
Virtue,virtuevc.com,"Virtue focuses on investing in early-stage healthcare startups led by exceptional founders, aiming to significantly innovate and improve the healthcare ecosystem.","Seed, Early Stage",Healthcare
TheVentureCity Fund,theventure.city,"TheVentureCity is a global, early stage venture fund that invests in diverse and mission-driven founders. They provide capital, expertise, and hands-on support to help founders achieve product-led growth. With hubs in Miami, Madrid, San Francisco, and ...","Angel, Seed, Series A, Early Stage",
PitchBook Data,em9314.news.pitchbook.com,"PitchBook is a premier data software provider for VC, PE, and M&A professionals, offering a powerful suite of tools to support every stage of a transaction and empower global capital market professionals.",,
Crunchbase,crunchbase.com,"Crunchbase: The go-to platform for discovering innovative companies and industry leaders globally, providing insights on competition, trends, funding, and news. Trusted by millions, Crunchbase is the primary source for business information and prospect...",None,
Fenwick & West,fenwick.com,"Fenwick is a leading law firm, purpose-built to guide visionary tech and life sciences companies and their investors through every stage of growth, from startups securing their first round of funding to leading publicly-traded global enterprises. As one of Silicon Valley’s original legal practices, today we have over 500 lawyers, patent agents, engineers and scientists serving clients from seven offices located in innovation hubs across the United States and China. Named 2023 Life Sciences Practice Group of the Year by Law360, we are consistently ranked a Chambers first-tier firm for delivering the deep experience and technical skill that help innovators at the forefront of their industries redefine what’s possible. Content on this page may include attorney advertising.",,
Cathexis,cathexis.com,"Cathexis Holdings LP ISG Ltd is a $3 billion revenue general contractor headquartered in the UK. With a background in data centers, high-tech manufacturing, and commercial fit-out, the company provides a wide range of construction services. Partnered w...",,
Placeholder,placeholder.vc,"Placeholder is a venture capital partnership based in New York City that focuses on investing in decentralized information networks, open blockchain technologies, and Web3 infrastructure.",None,"Web3, Blockchain"
Selten Group,seltengroup.com,"Selten Group is a unique consortium of experienced executives and entrepreneurs dedicated to innovative value creation. With a focus on diverse sectors including real estate, logistics, sports management, and blockchain technologies, we invest in promi...",,Blockchain
Loeb.nyc,loeb.nyc,"Loeb.nyc is a venture collective that pairs capital with expert support to accelerate startups' go-to-market strategies. Led by serial entrepreneurs, Michael Loeb and Richard Vogel, the NYC-based company offers a dynamic model that increases startups' ...","Seed, Series A, Series B, Early Stage",
New Stack Ventures,newstack.com,"New Stack Ventures is an early-stage venture capital firm founded in 2015 with a mission to invest in remarkable founders, particularly those considered as 'Outsiders'. The company empowers startups to gain attention from Tier 1 VCs, offering investmen...","Pre-Seed, Seed, Series A, Early Stage","AI, FinTech, Consumer, Big Data, Cloud Computing, Cybersecurity, E-Commerce / Marketplaces"
Valia Ventures,valia.vc,"Valia Ventures is a venture capital firm that invests in early-stage startups, providing initial funding ranging from $50,000 to $1,000,000 to support founders in building innovative and iconic companies, regardless of their development stage.","Angel, Seed, Early Stage",
Laconia,laconiacapitalgroup.com,"Laconia leads investments in pre-seed and seed stage B2B software companies, offering support in sales, operations, and capital strategy.","Pre-Seed, Seed","FinTech, E-Commerce / Marketplaces"
GD1,gd1.vc,"GD1 is a Venture Capital firm based in Auckland, New Zealand, investing in high-growth technology companies originating from New Zealand. They provide capital, operational support, and international connections to help kiwi tech startups succeed global...","Seed, Series A, Early Stage, Growth Stage",
Grishin Robotics,grishinrobotics.com,"Grishin Robotics is a leading Silicon Valley VC firm specializing in consumer hardware, backing disruptive startups in online entertainment, gaming, food, education, and team productivity.","Seed, Series A, Series B, Early Stage, Growth Stage, Late Stage","Consumer, Collaboration / Productivity Tools, Creator Economy"
niya venture,niya.vc,"NIYA Partners is a venture capital firm that focuses on Series A, Series B, and beyond investments in unique and unexpected companies enabled by proprietary technology. They offer investment opportunities across all sectors and business models, aiming ...","Series A, Series B",
Conscious Equity Ventures,consciousequity.com,"Conscious Equity Partners is an investment firm that specializes in long-term capital investment and providing operational expertise to mature conscious businesses. They cater to conscious investors, mindful investors, and those seeking conscious capit...","Growth Stage, Late Stage",
ALCOR Fund,alcorfund.com,"ALCOR FUND is a global investment firm offering funding, consulting, and financial services for Smart Startups, Buyouts, Private Equity, and M&A to drive rapid growth and exceptional results.",,
Lightspeed Venture Partners,lsvp.com,"Lightspeed Venture Partners is a multi-stage venture capital firm that focuses on accelerating disruptive innovations and trends in the consumer and enterprise sectors, having backed hundreds of entrepreneurs and helped build over 300 companies globally.","Seed, Series A, Series B, Series C+, Early Stage, Growth Stage, Late Stage","Consumer, Enterprise"
Approach Venture,approachventure.com,Approach Venture supports founding teams in the frontier technology sector by providing resources and guidance to help them realize their full potential.,,"AI, Blockchain, FinTech, Healthcare, Big Data, Cloud Computing, Cybersecurity, Climate Tech, Robotics"
Cendana Capital,cendanacapital.com,Cendana Capital is a San Francisco-based company that provides strategic and high conviction capital to very early stage VC funds globally. They are active investors in seed VC funds and are members of the LP Advisory Boards of various prominent ventur...,"Angel, Seed, Early Stage",
Town Hall Ventures,townhallventures.com,"Town Hall Ventures is a venture capital and private equity firm that focuses on investing in health care solutions for underserved communities. They partner with passionate entrepreneurs to support the growth of impactful companies like Cityblock, Brig...",,Healthcare
The Spartan Group,spartangroup.io,"Spartan Group is a leading blockchain investment and advisory firm based in Singapore and Hong Kong. Our partners are former veterans from the banking, hedge fund and venture capital worlds. We offer bespoke advisory services for leading blockchain projects and companies seeking to implement their Asia expansion, fundraising and ecosystem strategies. In addition, we also invest in blockchain projects via our investment arm.","Seed, Early Stage, Growth Stage",Blockchain
protalabs.com,protalabs.com,"Prota Ventures is a venture building and early stage investment firm with a mission to launch inspiring new ventures and invest in early stage founders. They promote human flourishing by investing holistically in entrepreneurs, believing in generosity,...","Angel, Seed, Early Stage",
Wheelhouse.io,wheelhouse.io,"Wheelhouse is a company that serves as growth partners, specializing in design, operations, and investments. They provide services in venture capital and private equity, offering expertise in design, operations, and investment strategies to support bus...",,
Calm Ventures,calmvc.com,Calm Ventures is a Los Angeles-based venture capital firm investing in breakout technology companies to drive growth and innovation.,,
U First Capital,ufirstcapital.com,"U First Capital is a Silicon Valley-based firm that offers Venture Capital as a Service for Corporations. With a strong technology background and deep connections in the industry, they drive investments as a Corporate Venture Capital Innovation Hub, co...","Seed, Series A, Early Stage",
Share Ventures,share.vc,"Share Ventures is a venture studio that invents and invests in companies unlocking human potential. They create new business concepts, provide seed funding, and drive acceleration through strategic partnerships with influencers, corporations, and inves...","Angel, Seed, Early Stage","AI, FinTech, Healthcare, Consumer, Climate Tech"
BTG Network,thebtgnetwork.com,"Beyond The Game Network is a community of professional athletes and business executives that partners with startups in the sports, media, and consumer sectors. They bring together athletes, startups, and business executives to create a powerful ecosyst...","Pre-Seed, Seed, Series A, Early Stage, Growth Stage",Consumer
Keter Point,keterpoint.com,"Keter Point is an active investor in hospitality real estate, public markets, and early-stage private companies, with a focus on socially responsible investments and industry diversification.","Angel, Seed, Early Stage",
Bloccelerate VC,bloccelerate.vc,"Bloccelerate is a venture fund and accelerator based in Seattle, WA, supporting entrepreneurs in building category-defining companies using blockchain technology. They provide mentoring, go-to-market solutions, access to peers and developers, academic ...",,Blockchain
Fika Ventures,fika.vc,Fika Ventures: Boutique seed fund investing in innovative solutions for meaningful problems through data and AI technologies.,"Angel, Seed, Early Stage","AI, Consumer, Big Data, Climate Tech"
Dorm Room Fund,dormroomfund.com,"Dorm Room Fund is the original student preseed venture capital fund, backing student founders with investors, mentors, and their first check to propel their companies forward and kickstart careers in entrepreneurship and investing.","Angel, Pre-Seed, Seed",
Outlier Ventures,outlierventures.io,"Outlier Ventures is the world's leading Open Metaverse accelerator program, investing in and partnering with the best Web3 founders. They support over 100 startups annually, focusing on DeFi, NFTs, and blockchain infrastructure, with a strong emphasis ...","Angel, Seed, Series A, Early Stage","DeFi, Blockchain, NFTs"
denargo,denargo.com,Denargo Capital LLC: Colorado-based private equity firm enhancing business value and potential since the late 19th Century.,,
G20 Ventures,g20vc.com,"G20 Ventures is a capital partner that supports the growth of new businesses by providing early traction capital for East Coast enterprise technology startups. Backed by the expertise of 20 accomplished entrepreneurs, G20 Ventures offers smart money, g...","Pre-Seed, Seed, Early Stage","FinTech, Enterprise"
Bayes Ventures,bayes.vc,,,"FinTech, E-Commerce / Marketplaces, Insurtech"
KAYA VENTURES,kaya.ventures,"Kaya Ventures is an early stage venture capital firm led by Madeline Darcy, focused on expanding access to wellness. With a unique ability to identify emerging trends, support founders, and capitalize on market opportunities, Kaya Ventures aims to impr...","Angel, Seed, Early Stage","Healthcare, Consumer, Climate Tech"
MyAsiaVc,myasiavc.com,"MyAsiaVC invests in businesses that leverage the secondary and tertiary effects of macrotrends, such as the disruptions caused by Covid-19 and advancements in networked societies, machine learning, and energy storage, to create innovative solutions in ...","Series A, Series B, Early Stage, Growth Stage","AI, Machine Learning, Climate Tech"
Alchemist Accelerator,alchemistaccelerator.com,"Alchemist Accelerator is a top-ranked venture-backed accelerator specializing in early-stage ventures monetizing from enterprises. It offers a 6-month program, seed investment, and corporate services through AlchemistX, including the AXII podcast.","Angel, Seed, Early Stage","Enterprise, E-Commerce / Marketplaces"
